t,p1,p2,v1,a1,v2,a2,
11.8,0.255,0.241,0.001,0.05,0.003,0.216,
11.85,0.256,0.242,0.003,0.018,0.015,0.206,
11.9,0.256,0.243,0.002,-0.002,0.024,0.19,
11.95,0.256,0.244,0.002,-0.017,0.034,0.173,
12.0,0.256,0.246,0.0,-0.025,0.041,0.156,
12.05,0.256,0.249,-0.001,-0.017,0.049,0.136,
12.1,0.256,0.251,-0.002,0.009,0.056,0.104,
12.15,0.255,0.254,0.0,0.031,0.06,0.072,
12.2,0.256,0.257,0.003,0.006,0.063,0.04,
12.25,0.256,0.261,0.001,-0.018,0.064,0.009,
12.3,0.256,0.264,-0.001,-0.003,0.064,-0.033,
12.35,0.256,0.267,0.001,-0.001,0.061,-0.089,
12.4,0.256,0.27,0.0,-0.022,0.054,-0.13,
12.45,0.256,0.273,-0.002,-0.021,0.046,-0.134,
12.5,0.256,0.274,-0.002,-0.021,0.041,-0.13,
12.55,0.256,0.277,-0.003,-0.041,0.034,-0.144,
12.6,0.256,0.278,-0.007,-0.036,0.026,-0.152,
12.65,0.255,0.279,-0.008,-0.009,0.019,-0.163,
12.7,0.255,0.28,-0.008,0.016,0.01,-0.189,
12.75,0.254,0.28,-0.006,0.024,-0.001,-0.192,
12.8,0.254,0.28,-0.004,0.008,-0.01,-0.167,
12.85,0.254,0.279,-0.004,-0.016,-0.017,-0.143,
12.9,0.254,0.278,-0.006,-0.024,-0.023,-0.138,
12.95,0.253,0.277,-0.008,-0.011,-0.031,-0.129,
13.0,0.253,0.275,-0.008,0.011,-0.037,-0.109,
13.05,0.252,0.273,-0.007,0.029,-0.042,-0.096,
13.1,0.252,0.271,-0.004,0.031,-0.046,-0.084,
13.15,0.252,0.268,-0.004,0.031,-0.051,-0.053,
13.2,0.252,0.265,-0.001,0.023,-0.052,-0.013,
13.25,0.252,0.263,-0.001,0.016,-0.051,0.005,
13.3,0.252,0.261,-0.001,0.04,-0.052,0.025,
13.35,0.252,0.258,0.004,0.049,-0.05,0.064,
13.4,0.252,0.255,0.006,0.028,-0.045,0.093,
13.45,0.252,0.253,0.006,0.014,-0.04,0.112,
13.5,0.253,0.251,0.007,0.011,-0.034,0.14,
13.55,0.253,0.25,0.007,0.011,-0.026,0.172,
13.6,0.253,0.249,0.007,0.018,-0.016,0.173,
13.65,0.254,0.248,0.009,0.021,-0.008,0.155,
13.7,0.254,0.248,0.01,0.015,-0.001,0.158,
13.75,0.255,0.248,0.011,-0.002,0.008,0.163,
13.8,0.255,0.249,0.009,-0.012,0.016,0.147,
13.85,0.256,0.25,0.009,-0.01,0.022,0.131,
13.9,0.256,0.251,0.009,-0.015,0.029,0.117,
13.95,0.257,0.253,0.007,-0.016,0.034,0.098,
14.0,0.257,0.255,0.006,0.003,0.04,0.064,
14.05,0.257,0.257,0.009,-0.001,0.041,0.021,
14.1,0.258,0.259,0.007,-0.024,0.04,0.005,
14.15,0.258,0.261,0.005,-0.025,0.04,0.014,
14.2,0.258,0.263,0.005,-0.037,0.042,0.011,
14.25,0.258,0.265,0.002,-0.061,0.043,-0.018,
14.3,0.259,0.267,-0.002,-0.061,0.041,-0.055,
14.35,0.258,0.269,-0.005,-0.035,0.037,-0.084,
14.4,0.258,0.271,-0.005,-0.021,0.032,-0.109,
14.45,0.258,0.272,-0.007,-0.016,0.026,-0.124,
14.5,0.257,0.274,-0.006,-0.018,0.02,-0.139,
14.55,0.257,0.274,-0.008,-0.038,0.012,-0.148,
14.6,0.257,0.275,-0.011,-0.042,0.004,-0.142,
14.65,0.256,0.275,-0.012,-0.035,-0.003,-0.128,
14.7,0.255,0.274,-0.015,-0.02,-0.008,-0.123,
14.75,0.255,0.274,-0.015,0.006,-0.015,-0.118,
14.8,0.254,0.273,-0.014,0.031,-0.021,-0.096,
14.85,0.253,0.272,-0.011,0.039,-0.024,-0.079,
14.9,0.253,0.27,-0.009,0.024,-0.028,-0.074,
14.95,0.252,0.269,-0.009,0.007,-0.032,-0.066,
15.0,0.252,0.267,-0.008,-0.005,-0.035,-0.046,
15.05,0.251,0.265,-0.011,0.016,-0.036,-0.027,
15.1,0.251,0.264,-0.008,0.056,-0.038,-0.002,
15.15,0.251,0.262,-0.004,0.072,-0.037,0.028,
15.2,0.25,0.26,-0.0,0.069,-0.035,0.045,
15.25,0.251,0.258,0.004,0.052,-0.032,0.055,
15.3,0.251,0.257,0.005,0.043,-0.029,0.063,
15.35,0.251,0.255,0.008,0.042,-0.026,0.072,
15.4,0.252,0.254,0.009,0.039,-0.022,0.088,
15.45,0.252,0.253,0.011,0.042,-0.017,0.097,
15.5,0.253,0.252,0.014,0.026,-0.012,0.098,
15.55,0.253,0.252,0.013,0.013,-0.008,0.12,
15.6,0.254,0.251,0.015,0.02,-0.0,0.138,
15.65,0.255,0.252,0.017,0.007,0.007,0.125,
15.7,0.256,0.252,0.016,-0.011,0.013,0.097,
15.75,0.256,0.253,0.015,-0.014,0.017,0.078,
15.8,0.257,0.254,0.014,-0.02,0.02,0.079,
15.85,0.258,0.255,0.013,-0.032,0.024,0.094,
15.9,0.258,0.256,0.01,-0.031,0.03,0.08,
15.95,0.259,0.258,0.01,-0.036,0.033,0.039,
16.0,0.26,0.26,0.008,-0.055,0.034,0.008,
16.05,0.26,0.262,0.004,-0.054,0.033,-0.007,
16.1,0.26,0.263,0.002,-0.053,0.033,-0.014,
16.15,0.26,0.265,-0.001,-0.06,0.033,-0.037,
16.2,0.26,0.266,-0.005,-0.046,0.029,-0.062,
16.25,0.259,0.268,-0.006,-0.023,0.026,-0.076,
16.3,0.259,0.269,-0.006,-0.026,0.022,-0.091,
16.35,0.259,0.27,-0.007,-0.056,0.017,-0.103,
16.4,0.259,0.271,-0.012,-0.075,0.011,-0.103,
16.45,0.258,0.271,-0.017,-0.052,0.006,-0.093,
16.5,0.257,0.271,-0.018,-0.011,0.002,-0.088,
16.55,0.256,0.271,-0.017,0.017,-0.002,-0.098,
16.6,0.255,0.271,-0.016,0.027,-0.009,-0.094,
16.65,0.254,0.27,-0.014,0.029,-0.013,-0.059,
16.7,0.253,0.27,-0.011,0.012,-0.014,-0.047,
16.75,0.253,0.269,-0.013,-0.002,-0.016,-0.062,
16.8,0.252,0.268,-0.014,0.022,-0.02,-0.065,
16.85,0.252,0.267,-0.01,0.032,-0.024,-0.044,
16.9,0.251,0.265,-0.01,0.028,-0.025,-0.016,
16.95,0.251,0.264,-0.009,0.052,-0.025,-0.003,
17.0,0.25,0.263,-0.004,0.061,-0.025,0.006,
17.05,0.25,0.262,-0.001,0.045,-0.025,0.023,
17.1,0.25,0.261,-0.001,0.053,-0.023,0.034,
17.15,0.25,0.259,0.004,0.067,-0.021,0.037,
